序号,原版 event,category,vibration_intensity,audio,audio_intensity,player_only,haptics.lua 行,重复定义数,源码字面引用数,原版原始逻辑/证据,目前实现的触发逻辑,正常交互保护,空间/player_only 逻辑,目前具体震动方式,保真度与限制
11,dontstarve_DLC001/common/HUD_hot_level2,DANGER,1.0,True,1.0,False,19,1,1,"haptics.lua 第 19 行注册；触发证据：widgets/heatover.lua:50 ""dontstarve_DLC001/common/HUD_hot_level2"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,Heatwave 原版 WAV RMS 包络（约 3.0 s）,高：客户端 Lua 原调用、参数与返回值不改变
12,dontstarve_DLC001/common/HUD_hot_level3,DANGER,1.0,True,1.0,False,20,1,1,"haptics.lua 第 20 行注册；触发证据：widgets/heatover.lua:51 ""dontstarve_DLC001/common/HUD_hot_level3"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,Heatwave 原版 WAV RMS 包络（约 3.0 s）,高：客户端 Lua 原调用、参数与返回值不改变
13,dontstarve_DLC001/common/HUD_hot_level4,DANGER,1.0,True,1.0,False,21,1,1,"haptics.lua 第 21 行注册；触发证据：widgets/heatover.lua:52 ""dontstarve_DLC001/common/HUD_hot_level4"",",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,DANGER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 7–34 单位；超距归零，可由 Spatial Reach 缩放,Heatwave 原版 WAV RMS 包络（约 3.0 s）,高：客户端 Lua 原调用、参数与返回值不改变
14,dontstarve/movement/run_web,PLAYER,1.0,False,1.0,False,26,1,1,"haptics.lua 第 26 行注册；触发证据：worldtiledefs.lua:157 (oncreep and ""dontstarve/movement/run_web"") or",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
15,dontstarve/movement/run_marble,PLAYER,1.0,False,1.0,False,27,1,13,"haptics.lua 第 27 行注册；触发证据：tiledefs.lua:916 runsound=""dontstarve/movement/run_marble"",；tiledefs.lua:917 walksound=""dontstarve/movement/run_marble"",；tiledefs.lua:940 runsound=""dontstarve/movement/run_marble"",；另 10 处",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
16,dontstarve/movement/slip_fall_thud,PLAYER,1.0,True,1.0,False,28,1,3,"haptics.lua 第 28 行注册；触发证据：stategraphs/SGwilson.lua:24268 FrameEvent(10, function(inst) inst.SoundEmitter:PlaySound(""dontstarve/movement/slip_fall_thud"") end),；stategraphs/SGwilson.lua:27411 FrameEvent(10, function(inst) inst.SoundEmitter:PlaySound(""dontstarve/movement/slip_fall_thud"") end),；stategraphs/SGwx78_possessedbody.lua:3482 FrameEvent(10, function(inst) inst.SoundEmitter:PlaySound(""dontstarve/movement/slip_fall_thud"") end),",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
17,dontstarve_DLC001/common/shocked,PLAYER,1.0,True,1.0,False,31,1,4,"haptics.lua 第 31 行注册；触发证据：fx.lua:690 sound = ""dontstarve_DLC001/common/shocked"",；fx.lua:699 sound = ""dontstarve_DLC001/common/shocked"",；fx.lua:708 sound = ""dontstarve_DLC001/common/shocked"",；另 1 处",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,危险/受击三段衰减包络,高（客户端调用可见时）
18,meta5/wendy/revive_emerge,PLAYER,1.0,True,1.0,False,34,1,1,"haptics.lua 第 34 行注册；触发证据：stategraphs/SGwilson.lua:3542 inst.SoundEmitter:PlaySound(""meta5/wendy/revive_emerge"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
19,meta5/grave_spawn/woody_goose,PLAYER,1.0,True,1.0,False,35,1,1,"haptics.lua 第 35 行注册；触发证据：stategraphs/SGwilson.lua:3536 inst.SoundEmitter:PlaySound(""meta5/grave_spawn/woody_goose"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
20,meta5/grave_spawn/woody_moose,PLAYER,1.0,True,1.0,False,36,1,1,"haptics.lua 第 36 行注册；触发证据：stategraphs/SGwilson.lua:3538 inst.SoundEmitter:PlaySound(""meta5/grave_spawn/woody_moose"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
21,meta5/grave_spawn/woody_beaver,PLAYER,1.0,True,1.0,False,37,1,1,"haptics.lua 第 37 行注册；触发证据：stategraphs/SGwilson.lua:3540 inst.SoundEmitter:PlaySound(""meta5/grave_spawn/woody_beaver"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
22,wanda1/wanda/rewindtime_rebirth,PLAYER,1.0,True,1.0,False,38,1,1,"haptics.lua 第 38 行注册；触发证据：stategraphs/SGwilson.lua:15316 inst.SoundEmitter:PlaySound(""wanda1/wanda/rewindtime_rebirth"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
23,dontstarve/common/resurrectionstone_break,PLAYER,1.0,True,1.0,False,39,1,2,"haptics.lua 第 39 行注册；触发证据：prefabs/resurrectionstone.lua:38 inst.SoundEmitter:PlaySound(""dontstarve/common/resurrectionstone_break"")；prefabs/resurrectionstone.lua:102 inst.SoundEmitter:PlaySound(""dontstarve/common/resurrectionstone_break"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
24,dontstarve/common/rebirth,PLAYER,1.0,True,1.0,False,40,1,1,"haptics.lua 第 40 行注册；触发证据：stategraphs/SGwilson.lua:3489 inst.SoundEmitter:PlaySound(""dontstarve/common/rebirth"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
25,dontstarve/common/rebirth_amulet_raise,PLAYER,1.0,True,1.0,False,41,1,2,"haptics.lua 第 41 行注册；触发证据：stategraphs/SGklaus.lua:373 inst.SoundEmitter:PlaySound(""dontstarve/common/rebirth_amulet_raise"")；stategraphs/SGwilson.lua:15107 inst.SoundEmitter:PlaySound(""dontstarve/common/rebirth_amulet_raise"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
26,dontstarve/common/rebirth_amulet_poof,PLAYER,1.0,True,1.0,False,42,1,3,"haptics.lua 第 42 行注册；触发证据：stategraphs/SGklaus.lua:376 inst.SoundEmitter:PlaySound(""dontstarve/common/rebirth_amulet_poof"")；stategraphs/SGklaus.lua:1002 inst.SoundEmitter:PlaySound(""dontstarve/common/rebirth_amulet_poof"")；stategraphs/SGwilson.lua:15110 inst.SoundEmitter:PlaySound(""dontstarve/common/rebirth_amulet_poof"")",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
27,dontstarve/wilson/chest_open,PLAYER,1.0,True,1.0,False,44,1,10,"haptics.lua 第 44 行注册；触发证据：containers.lua:511 opensound = ""dontstarve/wilson/chest_open"",；prefabs/bookstation.lua:116 inst.SoundEmitter:PlaySound(""dontstarve/wilson/chest_open"")；prefabs/chest_mimic.lua:18 open  = ""dontstarve/wilson/chest_open"",；另 7 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
28,dontstarve/wilson/chest_close,PLAYER,1.0,True,1.0,False,45,1,13,"haptics.lua 第 45 行注册；触发证据：containers.lua:512 closesound = ""dontstarve/wilson/chest_close"",；prefabs/bookstation.lua:124 inst.SoundEmitter:PlaySound(""dontstarve/wilson/chest_close"")；prefabs/chest_mimic.lua:19 close = ""dontstarve/wilson/chest_close"",；另 10 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
29,dontstarve/wilson/harvest_sticks,PLAYER,1.0,True,1.0,False,54,1,6,"haptics.lua 第 54 行注册；触发证据：prefabs/ancienttree_defs.lua:236 onpicked = ""dontstarve/wilson/harvest_sticks"",；prefabs/ancienttree_defs.lua:303 onpicked = ""dontstarve/wilson/harvest_sticks"",；prefabs/cactus.lua:105 inst.components.pickable.picksound = ""dontstarve/wilson/harvest_sticks""；另 3 处",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
30,aqol/new_test/wood,PLAYER,1.0,True,1.0,False,59,1,1,"haptics.lua 第 59 行注册；触发证据：constants.lua:1218 [""wood""] = ""aqol/new_test/wood"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
31,aqol/new_test/gem,PLAYER,1.0,True,1.0,False,60,1,1,"haptics.lua 第 60 行注册；触发证据：constants.lua:1219 [""gem""] = ""aqol/new_test/gem"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
32,aqol/new_test/cloth,PLAYER,1.0,True,1.0,False,61,1,1,"haptics.lua 第 61 行注册；触发证据：constants.lua:1220 [""cloth""] = ""aqol/new_test/cloth"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
33,aqol/new_test/metal,PLAYER,1.0,True,1.0,False,62,1,1,"haptics.lua 第 62 行注册；触发证据：constants.lua:1221 [""metal""] = ""aqol/new_test/metal"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
34,aqol/new_test/rock,PLAYER,1.0,True,1.0,False,63,1,1,"haptics.lua 第 63 行注册；触发证据：constants.lua:1222 [""rock""] = ""aqol/new_test/rock"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
35,aqol/new_test/vegetation_firm,PLAYER,1.0,True,1.0,False,64,1,1,"haptics.lua 第 64 行注册；触发证据：constants.lua:1223 [""vegetation_firm""] = ""aqol/new_test/vegetation_firm"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
36,aqol/new_test/vegetation_grassy,PLAYER,1.0,True,1.0,False,65,1,1,"haptics.lua 第 65 行注册；触发证据：constants.lua:1224 [""vegetation_grassy""] = ""aqol/new_test/vegetation_grassy"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
37,aqol/new_test/squidgy,PLAYER,1.0,True,1.0,False,66,1,1,"haptics.lua 第 66 行注册；触发证据：constants.lua:1225 [""squidgy""] = ""aqol/new_test/squidgy"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
38,aqol/new_test/grainy,PLAYER,1.0,True,1.0,False,67,1,1,"haptics.lua 第 67 行注册；触发证据：constants.lua:1226 [""grainy""] = ""aqol/new_test/grainy"",",SoundEmitter 原事件钩子（动态/数据表选声同样按最终事件匹配）,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,高（客户端调用可见时）
39,dontstarve/HUD/collect_resource,PLAYER,1.0,True,1.0,False,68,1,3,"haptics.lua 第 68 行注册；触发证据：constants.lua:1228 [""DEFAULT_FALLBACK""] = ""dontstarve/HUD/collect_resource"",；screens/crowkidgamescreen.lua:536 TheFrontEnd:GetSound():PlaySound(""dontstarve/HUD/collect_resource"")；screens/tradescreen.lua:216 TheFrontEnd:GetSound():PlaySound(""dontstarve/HUD/collect_resource"")",SoundEmitter.PlaySound / PlaySoundWithParams 原事件 O(1) 索引钩子,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重,UI/HUD 非空间，强度不随世界距离衰减,UI 短触点；重要 UI 动画使用双脉冲,高：客户端 Lua 原调用、参数与返回值不改变
40,dontstarve/creatures/chester/open,PLAYER,1.0,True,1.0,False,70,1,1,"haptics.lua 第 70 行注册；触发证据：prefabs/chester.lua:54 open = ""dontstarve/creatures/chester/open"",",客户端可见的同名 SoundEmitter 调用由钩子处理；纯服务端直接复制声音无法被 Lua 通用枚举,原版 Controller Vibration=ON；Mod=ON；活动手柄已连接；非暂停；同事件/实体/实例短窗去重；空间距离过滤,PLAYER 以 Sim.SetListener 三维位置进行世界空间平滑衰减，默认近—远 5–26 单位；超距归零，可由 Spatial Reach 缩放,通用单脉冲包络,条件覆盖：事件表语义完整，触发可观察性由引擎路径决定
